name,lifecycle_policy,image_count,total_size_bytes,total_size_mb,total_size_gb,total_size_tb,tags
new,null,1,78531277,74.89326190948486,0.07313795108348131,7.142378035496222e-05,"[{""Key"": ""name"", ""Value"": ""temp""}, {""Key"": ""env"", ""Value"": ""dev""}]"
test,"[{""rulePriority"": 1, ""description"": ""remove alpha images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""sinceImagePushed"", ""countUnit"": ""days"", ""countNumber"": 1}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""name"", ""Value"": ""test-repo""}, {""Key"": ""env"", ""Value"": ""dev""}]"
